X				Y			OBJECTID	SPECIES	DIAMETER
-89.39194044	43.04330126	147	320	4
-89.39193425	43.04344457	148	320	18
-89.39193067	43.04356516	149	320	18
-89.39192207	43.0437102	150	320	18
-89.39191821	43.04385877	151	544	19
-89.3919081		43.04415588	152	1	0
-89.39178639	43.04417271	153	544	17
-89.39179248	43.04403989	154	1	0
-89.39179622	43.04390356	155	315	1
-89.39180005	43.0437585	156	315	1
-89.39180636	43.04360296	157	320	13
-89.39181255	43.04345965	158	320	14
-89.39181863	43.04332858	159	320	15
-89.39182475	43.04319226	160	320	13
-89.39183823	43.04279553	161	1	0
-89.39184549	43.0425456	162	1	0
-89.39185227	43.04234286	163	320	16
-89.39186478	43.04204401	164	1	0
-89.39370901	43.07348549	165	972	57
-89.39387443	43.07337637	166	320	13
-89.39361859	43.07354361	167	320	11
-89.39306677	43.04558173	168	544	7
-89.39311086	43.04544553	169	547	17
-89.39314716	43.04533326	170	547	21
-89.39318606	43.04521362	171	544	9
-89.39322998	43.04509401	172	547	21
-89.39331546	43.04484003	173	547	14
-89.3934265		43.04454378	174	547	21
-89.39346055	43.04440568	175	547	23
-89.39349412	43.04431552	176	544	15
-89.39353307	43.04419035	177	547	23
-89.39357705	43.04406521	178	547	15
-89.39366506	43.0438094	179	547	20
-89.39372422	43.04367328	180	547	17
-89.39377585	43.04353712	181	544	11
-89.39379824	43.0438138	182	554	13
-89.39181377	43.04600451	183	544	18
-89.39182642	43.04590811	184	544	18
-89.39170685	43.04588175	185	544	14
-89.39167916	43.04602094	186	544	13
-89.39165986	43.04619875	187	544	8
-89.39163199	43.04635509	188	544	20
-89.39162796	43.04646653	189	544	14
-89.39160029	43.04660357	190	544	21
-89.3915902		43.04673642	191	554	16
-89.39154683	43.0469827	192	554	21
-89.39152526	43.04709405	193	554	22
-89.39152121	43.04720764	194	554	21
-89.39148379	43.04744324	195	554	18
-89.39146205	43.04757174	196	554	19
-89.39144594	43.0477217	197	554	22
-89.391299		43.04780237	198	544	15
-89.39117614	43.04781243	199	544	22
-89.39094534	43.04780262	200	544	17
-89.39070283	43.04779489	201	544	16
-89.39054791	43.04779621	202	544	14
-89.39038721	43.04779106	203	544	18
-89.39038921	43.04788325	204	544	17
-89.39077497	43.04788745	205	544	13
-89.39090348	43.04789672	206	544	14
-89.39109639	43.04789668	207	544	15
-89.39126287	43.04790829	208	544	18
-89.39140817	43.04799266	209	554	22
-89.39138939	43.04811689	210	554	19
-89.39137369	43.04822613	211	554	20
-89.39137224	43.04837189	212	554	21
-89.3913109		43.04866094	213	554	20
-89.39129193	43.04880446	214	554	24
-89.3911302		43.0489022	215	320	13
-89.39095164	43.04892911	216	320	20
-89.3907907		43.04894754	217	320	18
-89.39066194	43.048964	218	320	18
-89.3905097		43.04898891	219	320	13
-89.39037216	43.04900532	220	320	21
-89.39019947	43.04903012	221	320	15
-89.39009184	43.0489781	222	554	21
-89.39011681	43.04881961	223	554	20
-89.39013589	43.04866537	224	554	25
-89.39015181	43.0485347	225	554	23
-89.39017363	43.04839762	226	554	22
-89.39018652	43.04827765	227	554	19
-89.39021417	43.04814275	228	554	22
-89.39021797	43.04805489	229	554	18
-89.39023645	43.04796067	230	554	22
-89.39027674	43.04773152	231	554	20
-89.39029261	43.04760513	232	554	22
-89.39030885	43.04744231	233	554	22
-89.39033354	43.04731168	234	554	20
-89.39034954	43.04717243	235	547	25
